,0,1
0,汪淼,623
1,叶文洁,430
2,三体,305
3,太阳,275
4,文明,264
5,世界,249
6,宇宙,181
7,地球,159
8,信息,158
9,人类,140
10,大史,122
11,发现,118
12,研究,115
13,时间,106
14,红岸,102
15,东西,98
16,科学,95
17,发射,95
18,这是,92
19,运行,84
20,系统,81
21,技术,79
22,基地,77
23,质子,77
24,感觉,76
25,元首,76
26,回答,75
27,杨卫宁,75
28,发出,74
29,真的,71
30,工作,70
31,智子,67
32,父亲,64
33,游戏,62
34,行星,62
35,仿佛,60
36,声音,60
37,地上,60
38,天线,60
39,执政官,59
40,孩子,58
41,计算机,58
42,监听,58
43,三个,57
44,观测,57
45,只能,56
46,背景,56
47,听到,56
48,一名,55
49,发生,54
50,告诉,54
51,丁仪,54
52,外星,54
53,接收,53
54,眼睛,52
55,目标,52
56,太空,52
57,倒计时,51
58,显示,50
59,点点头,50
60,社会,50
61,感到,49
62,申玉菲,49
63,力量,48
64,地说,48
65,展开,48
66,方向,47
67,潘寒,47
68,有人,46
69,周文王,46
70,金字塔,46
71,理论,45
72,想象,45
73,中心,45
74,乱纪元,44
75,审问者,44
76,消失,43
77,生命,43
78,一条,43
79,肯定,43
80,组织,43
81,天空,42
82,生活,42
83,简单,42
84,计算,42
85,事情,41
86,想到,40
87,好像,40
88,审判,40
89,速度,40
90,收到,40
91,降临派,40
92,希望,39
93,一只,39
94,沉默,39
95,发展,39
96,史强,39
97,结构,39
98,恒纪元,39
99,小时,38
100,位置,38
101,努力,38
102,士兵,38
103,一位,38
104,毁灭,37
105,处于,37
106,政委,37
107,加速器,37
108,伊文斯,37
109,很大,36
110,渐渐,36
111,历史,36
112,地方,36
113,辐射,36
114,内部,35
115,红卫兵,35
116,城市,35
117,实验,35
118,状态,35
119,变得,35
120,秦始皇,35
121,诺伊曼,35
122,变化,34
123,一阵,34
124,目光,34
125,距离,34
126,文洁,34
127,地面,34
128,工程,34
129,雷志成,34
130,接触,34
131,脱水,34
132,内容,33
133,精神,33
134,身上,33
135,漫长,33
136,第一次,33
137,面前,33
138,真实,33
139,杨冬,33
140,规律,33
141,几个,32
142,回到,32
143,教授,32
144,物质,32
145,形状,32
146,意义,32
147,明白,32
148,一张,32
149,刚刚,32
150,不到,31
151,思想,31
152,确实,31
153,旁边,31
154,同志,31
155,学者,31
156,一点,31
157,一眼,31
158,红岸基地,31
159,数字,31
160,叶哲泰,30
161,妻子,30
162,也许,30
163,情况,30
164,成功,30
165,常伟思,30
166,胶卷,30
167,魏成,30
168,计划,30
169,一颗,29
170,物理学,29
171,建立,29
172,摇摇头,29
173,白沐霖,29
174,没什么,29
175,三颗,29
176,电波,29
177,牛顿,29
178,大部分,28
179,黑色,28
180,说话,28
181,四个,28
182,找到,28
183,到达,28
184,坐在,28
185,女人,28
186,大地,28
187,指指,28
188,能量,28
189,三体问题,28
190,疯狂,27
191,现实,27
192,剩下,27
193,做出,27
194,两人,27
195,缓缓,27
196,之间,27
197,恒星,27
198,纳米,27
199,照片,27
200,相机,27
201,表面,27
202,升起,27
203,卫星,27
204,生存,26
205,敌人,26
206,年轻,26
207,关系,26
208,时代,26
209,科学边界,26
210,一根,26
211,像是,26
212,平面,26
213,设备,26
214,预测,26
215,射电,26
216,沙瑞山,26
217,永远,25
218,样子,25
219,一声,25
220,结束,25
221,一部分,25
222,运动,25
223,一句,25
224,离开,25
225,材料,25
226,数学,25
227,奇怪,25
228,那种,25
229,二维,25
230,大小,25
231,能力,25
232,天文,25
233,阵列,25
234,金属,24
235,至少,24
236,整体,24
237,熟悉,24
238,物理,24
239,影响,24
240,精确,24
241,说完,24
242,作用,24
243,手中,24
244,天体,24
245,机会,24
246,基础,24
247,外面,24
248,干扰,24
249,控制,24
250,试验,24
251,地平线,24
252,纣王,24
253,飞星,24
254,望远镜,24
255,镜面,24
256,最终,23
257,人类文明,23
258,理想,23
259,一半,23
260,一件,23
261,智慧,23
262,一会儿,23
263,战争,23
264,雷达峰,23
265,理解,23
266,不知,23
267,过程,23
268,上校,23
269,粒子,23
270,杨母,23
271,墨子,23
272,频率,23
273,统帅,23
274,斯坦顿,23
275,运河,23
276,幽灵,22
277,参加,22
278,最初,22
279,专业,22
280,老师,22
281,两名,22
282,起身,22
283,房间,22
284,一台,22
285,抬头,22
286,文件,22
287,某种,22
288,阳光,22
289,电话,22
290,会议,22
291,领导,22
292,高能,22
293,国家,22
294,追随者,22
295,大殿,22
296,事儿,21
297,星空,21
298,女孩儿,21
299,反动,21
300,转向,21
301,绍琳,21
302,指着,21
303,唯一,21
304,双眼,21
305,转身,21
306,充满,21
307,脸上,21
308,包括,21
309,想法,21
310,见到,21
311,所有人,21
312,走出,21
313,露出,21
314,证实,21
315,项目,21
316,闪烁,21
317,启动,21
318,数据,21
319,成员,21
320,专家,21
321,两次,21
322,球体,21
323,电磁辐射,21
324,木星,21
325,终于,20
326,一段,20
327,相比,20
328,燃烧,20
329,引力,20
330,时刻,20
331,放到,20
332,来到,20
333,环境,20
334,走进,20
335,介绍,20
336,反射,20
337,夜空,20
338,原因,20
339,空间,20
340,解决,20
341,超过,20
342,拯救派,20
343,舰队,20
344,波形,20
345,维度,20
346,文革,19
347,本书,19
348,物理学家,19
349,试图,19
350,黑暗,19
351,兴奋,19
352,革命,19
353,模型,19
354,恐惧,19
355,上帝,19
356,平静,19
357,眼前,19
358,寒冷,19
359,本来,19
360,那位,19
361,撞击,19
362,报告,19
363,星星,19
364,短短,19
365,兆赫,19
366,科幻,18
367,红色,18
368,兵团,18
369,大学,18
370,不行,18
371,说出,18
372,解释,18
373,是从,18
374,之外,18
375,那名,18
376,一块,18
